a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
a little	ᏍᏗᎩᏓ	[sdǐ:kida] (adj/adv) /ced/
a long distance	ᎤᏓᏅᎯᏓ	[u:danv:hi̋:da]  (single noun) /ced/
a long object is falling from an upright position	ᎦᎴᏴᏍᎦ	[gale:yv̌:sga]  (3rd/present continuous) /ced/
a long object is falling from an upright position	ᏥᎴᏴᏍᎦ	[jile:yv́:sga]  (1st/present continuous) /ced/
a long object is falling from an upright position	ᎤᎴᏴᏒᎢ	[ù:le:yv̌:sv́:ʔi]  (3rd/remote past) /ced/
a long object is falling from an upright position	ᎦᎴᏴᏍᎪᎢ	[gale:yv̌:sgóʔi]  (3rd/habitual) /ced/
a long object is falling from an upright position	ᎯᎴᏴᎯ	[hile:yv̌:hi]  (2nd/immediate) /ced/
a long object is falling from an upright position	ᎤᎴᏴᎯᏍᏗ	[u:le:yv̌:hísdi]  (3rd/deverbal) /ced/
a long time	ᎪᎯᏓ	[go:hi̋:da]  (single noun) /ced/
a lot	ᎤᏣᏘ	[ǔ:jati] (adj/adv) /ced/
a lot	ᎤᏂᏣᏘ	[u:nǐ:jati]  (plural adj/adv) /ced/
a lot	ᎤᏥᏈᏍᏗ	[u:tsgwi̋:sdi] (adj/adv) /ced/
a lot	ᎤᏂᏥᏈᏍᏗ	[u:ni:tsgwi̋:sdi]  (plural adj/adv) /ced/
a lot	ᏥᏈᏍᏗ	[tsgwi̋:sdi] (adj/adv) /ced/
a lot of	ᎤᎪᏗ	[ǔ:gò:di] (adj/adv) /ced/
a lot of	ᎤᏂᎪᏗ	[u:ní:gò:di]  (plural adj/adv) /ced/
a person who has been chosen	ᎠᎦᏑᏰᏓ	[agà:su:ye̋:da] (adj/adv) /ced/
a person who has been chosen	ᎨᎦᏑᏰᏓ	[ge:gà:su:ye̋:da]  (plural adj/adv) /ced/
a piece of something that's been cut	ᎠᎬᎭᎸᏓ	[agv:halv̋:da] (adj/adv) /ced/
a piece of something that's been cut	ᏗᎬᎭᎸᏓ	[di:gv:halv̋:da]  (plural adj/adv) /ced/
a sort of cast iron pot	ᏧᎳᏍᎩ	[ju:là:sgi]  (single noun) /ced/
a trial	ᏓᎾᏓᎯᎵᏙᎭ	[dà:nada:híʔlǐ:dô:ha]  (they are having) (3rd/present continuous) /ced/
a trial	ᏙᏣᏓᎯᎵᏙᎭ	[dò:jada:híʔlǐ:dô:ha]  (they are having) (1st/present continuous) /ced/
a trial	ᏚᎾᏓᎯᎵᏙᎸᎢ	[dù:nada:híʔlǐ:dô:lv̌:ʔi]  (they are having) (3rd/remote past) /ced/
a trial	ᏓᎾᏓᎯᎵᏙᎰᎢ	[dà:nada:híʔlǐ:dô:hó:ʔi]  (they are having) (3rd/habitual) /ced/
a trial	ᏗᏣᏓᎯᎵᏓ	[dì:jadá:hiʔli:da]  (they are having) (2nd/immediate) /ced/
a trial	ᏧᎾᏓᎯᎵᏓᏍᏗ	[ju:nada:hiʔlǐ:dâ:sdi]  (they are having) (3rd/deverbal) /ced/
a unit of measure	ᏑᏟᎶᏓ	[su:hli:lő:da]  (one acre, one bushel, one gallon, one hour, one mile, one yard) (single noun) /ced/
a while ago	ᎪᎯ	[kò:hi̋] (adj/adv) /ced/
abdomen	ᎤᏍᏉᏟᎢ	[u:sgwo:hli̋:ʔi]  (his) (single noun) /ced/
above	ᎦᎸᎳᏗᏜ	[galv̌:ládi:dla] (adj/adv) /ced/
accepting him or it	ᏕᏥᏯᏓᏂᎸᎦ	[de:jí:yadani:lv́:ga] (an.)  (he is) (1st/present continuous) /ced/
accepting him or it	ᏕᎦᏓᏂᎸᎦ	[de:gádani:lv́:ga] (in.)  (he is) (1st/present continuous) /ced/
accepting him or it	ᏘᏯᏓᏂᎸᎩ	[ti:yádani:lv̀:gi] (in.)  (he is) (2nd/immediate) /ced/
accepting him or it	ᏔᏓᏂᎸᎩ	[tadáni:lv̀:gi] (an.)  (he is) (2nd/immediate) /ced/
accepting him or it	ᏓᏓᏂᎸᎦ	[dà:dani:lv́:ga]  (he is) (3rd/present continuous) /ced/
accepting him or it	ᏚᏓᏂᎸᏨᎢ	[dù:dani:lv́:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
accepting him or it	ᏓᏓᏂᎸᎪᎢ	[dà:dani:lv́:gó:ʔi]  (he is) (3rd/habitual) /ced/
accepting him or it	ᏧᏓᏂᎸᏍᏗ	[ju:dani:lv̀sdi]  (he is) (3rd/deverbal) /ced/
accumulating	ᎧᏁᏉᎦ	[kanehgwó:ga]  (it is) (3rd/present continuous) /ced/
accumulating	ᎤᏁᏉᏨᎢ	[ù:hnehgwó:jv̌:ʔi]  (it is) (3rd/remote past) /ced/
accumulating	ᎧᏁᏉᎪᎢ	[kanehgwó:gó:ʔi]  (it is) (3rd/habitual) /ced/
accumulating	ᎯᏁᏉᎩ	[hihnehgwò:gi]  (it is) (2nd/immediate) /ced/
accumulating	ᎤᏁᏉᎢᏍᏗ	[u:hnehgwoʔísdi]  (it is) (3rd/deverbal) /ced/
accumulating it	ᎧᏁᏉᎠ	[kanehgwó:ʔa]  (he is) (3rd/present continuous) /ced/
accumulating it	ᏥᏁᏉᎠ	[jì:nehgwó:ʔa]  (he is) (1st/present continuous) /ced/
accumulating it	ᎤᏁᏉᎥᎢ	[ù:hnehgwó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
accumulating it	ᎧᏁᏉᏍᎪᎢ	[kanehgwó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
accumulating it	ᎯᏁᏉᏣ	[hihnehgwò:ja]  (he is) (2nd/immediate) /ced/
accumulating it	ᎤᏁᏉᏍᏗ	[u:hnehgwò:sdi]  (he is) (3rd/deverbal) /ced/
accusing him	ᎫᎯᏍᏗᎭ	[gu:hǐ:sdíha]  (he is) (3rd/present continuous) /ced/
accusing him	ᏥᏳᎢᏍᏗᎭ	[ji:yuʔǐ:sdíha]  (he is) (1st/present continuous) /ced/
accusing him	ᎤᏭᎯᏍᏔᏅᎢ	[ù:wu:hǐ:stánv̌:ʔi]  (he is) (3rd/remote past) /ced/
accusing him	ᎫᎯᏍᏗᏍᎪᎢ	[gu:hǐ:sdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
accusing him	ᎯᏳᎢᏍᏓ	[hi:yuʔǐ:sda]  (he is) (2nd/immediate) /ced/
accusing him	ᎤᏭᎯᏍᏙᏗ	[uwu:hǐ:sdóhdi]  (he is) (3rd/deverbal) /ced/
aching	ᎤᏪᎯᏍᏓᏁᎭ	[ù:we:hisdâ:neha]  (he is) (3rd/present continuous) /ced/
aching	ᎠᏇᎯᏍᏓᏁᎭ	[à:gwe:hisdâ:neha]  (he is) (1st/present continuous) /ced/
aching	ᎤᏪᎯᏍᏓᏁᎸᎢ	[ù:we:hisdâ:ne:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
aching	ᎤᏪᎯᏍᏓᏁᎰᎢ	[ù:we:hisdâ:ne:hó:ʔi]  (he is) (3rd/habitual) /ced/
